States,ItemLabels,Jan-16,Feb-16,Mar-16,Apr-16,May-16,Jun-16,Jul-16,Aug-16,Sep-16,Oct-16,Nov-16,Dec-16,Jan-17,Feb-17,Mar-17,Apr-17,May-17,Jun-17,Jul-17,Aug-17,Sep-17,Oct-17,Nov-17,Dec-17,Jan-18,Feb-18,Mar-18,Apr-18,May-18,Jun-18,Jul-18,Aug-18,Sep-18,Oct-18,Nov-18,Dec-18,Jan-19,Feb-19,Mar-19,Apr-19,May-19,Jun-19,Jul-19,Aug-19,Sep-19,Oct-19,Nov-19,Dec-19,Jan-20,Feb-20,Mar-20,Apr-20
ANAMBRA,Broken Rice (Ofada) / 1Kg,370.22,371.33066,360,361.08,380.67,440,441.32,488.24,489.70472,415.64453,416.89148,418.14215,444.32,480.97,462.645,463,477.45,470.11,480.55,480,480.0384,485,485.5,481.55,449.66333,449.9331,450.33804,450.74335,451.10394,446.66666,430,390.37036,380,380.19,380.53217,410,398.63864,398.99744,400.27563,400.5158,392.65387,395.12,396.23,396.547,399.02,402.21216,510.6384129,513.7022434,513.9721385,517.5699435,505,509.545
ANAMBRA,Catfish (obokun) fresh,,,,,,,,,,,,,1078.045,1050,1021.955,993.91,965.865,937.82,909.775,881.73,872.03094,875,884.61664,875.55,871.79486,926.9231,1000,986.9231,1050,1107.4376,1064.4231,1100,1205,1250,1283,1227.5385,1214.2858,1225,1278.8948,1200.8577,1229.7595,1198.4615,1156.6666,1200,1150,1200,1300,1340,1364.241657,1305.36218,1300,1385.24336
ANAMBRA,Catfish :dried,,,,,,,,,,,,,2389.155,2333.335,2269.84,2164.899,2105.0571,2252.645,2766.665,2317.59,2292.0964,2354.762,2384.718,2376.4707,2473.3333,2209.3435,2346.6667,2240,2586.8687,2637.2024,2571.3508,2481.0527,2196.3074,2197.84485,2215.4275,2395.873,2429.4224,2475.0835,2013.75,2100.127,2254.5957,2150.9395,2102.3147,2135.83,2108.1482,2088.2825,2250,2287.88,2264.444444,2220,2196.239316,2250
ANAMBRA,Catfish Smoked,,,,,,,,,,,,,1890,2021.81,2033.6274,2000,2057.2625,2069.08,2080.8975,1900,1879.1,1891.2087,1891.8508,1890.55,1850,1700,1600,1601.12,1533.3334,1550,1487.8948,1488.7875,1546.1538,1547.236154,1559.614,1600.05,1620.2946,1576.3889,1600,1618.1818,1603.7163,1600,1627.7778,1596.28,1576.1904,1520,1530.64,1542.88512,1513.461538,1485.545455,1502.592593,1566.666667
ANAMBRA,Chicken Feet / 1Kg,675.09,800,766.67,758.335,700.54,762.82,771.8,646.15,750,844.4081,800,800.11,819.795,800,809.8975,800,800,820.34,850,833.54,820,875,870.55,865.99,860,850,700,700,725,700,750,800,800,725,750,800,800.7424,820,820.85645,850,822.8997,800,750,753.31757,700,750.593125,800,833.33,800.5849321,785.7524981,800,853.558321
ANAMBRA,Chicken Wings / 1Kg,776.34,800,800,800,850,863.3325,757.145,867.485,862.5,1122.1324,1050,1050,1102.465,962.5,992.4825,850,800,860.43,830.215,1100.12,1150,991.92773,990,990,975,1050,950,980,966.6667,1000,1100,1142.8572,1066.6666,950,966.6667,1066.6666,1100,1150,1083.3334,950,1016.6667,1000,966.6667,1000.33,1066.6666,1100,1108.531274,1136.67,1200,1200.846322,1270,1300
ANAMBRA,Dried Fish Sardine,,,,,,,,,,,,,1786.695,1776.665,1777.38,1689.5522,1682.4519,1647.065,1686.115,1656.82,1599.7252,1492.8572,1502.3815,1500,1646.6666,1536.895,1559.0278,1686.1111,1591.6666,1630.4313,1575.9064,1491.9883,1504.823,1505.575354,1510.6293,1491.5585,1425.2947,1509.587,1429.293,1515.5869,1591.025,1530.7693,1522.5885,1560.02,1524.359,1522.18,1666.67,1700.41368,1754.700855,1700.699301,1756.456876,1800
ANAMBRA,Evaporated tinned milk carnation 170g / 1 unit,120,120.36,120.72108,121.083244,130,123.333336,123.67333,125,130.42,133.67456,134.01558,134.35764,133.39,145.76,150,140,142.33,139.56,140.945,150.97,150,152,150,150,176.25,176.35574,176.51447,176.67334,176.81467,176.93845,175.52,175.6253,176.8342,176.9403005,180.53847,180.02,180.03752,180.19955,190,190.114,191.25468,184.03,170.3,171.6359,180,181.44,170,171.02,170,171.19,170,171.19
ANAMBRA,"Evaporated tinned milk(peak), 170g / 1 unit",131.66667,137.08333,136.04167,142.02899,145.35715,142.06522,139.39131,140.37878,144.9074074,158.26613,157.5,159.58333,176.99667,173.09525,200,203.33333,205.76923,193,197.66667,188.66667,188.68176,192.94118,193.2258,192.5,194.61539,188.66667,186.2069,187.58621,190.22223,191.33333,189.31035,187.03703,190.38461,186.0714286,186.23889,188.51852,190.75862,189.58333,188.125,187.33333,189.13043,187.27272,183.33333,185.87,195,190.4761905,189.6,186.67,189.3103448,189.6428571,188.75,199.1304348
ANAMBRA,Frozen chicken / 1 unit,1116.6666,1188.3334,1243.75,1020.5357,1230,1212.5,1358.3334,1383.3334,1408.888889,1393.7925,1377.7778,1341.6666,1380.245,1483.3334,1460,1480,1400,1445.4546,1500,1516.6666,1450,1466.6666,1530,1526.6666,1525,1605,1625,1636.1111,1607.6923,1697.9166,1705,1736.8422,1805.5555,1778.421053,1780,1812.5,1792.2222,1800,1784.6154,1747.0588,1780.9741,1825.5,1895,1856.66,2033.1578,2071.875,1989.47,1973.53,1930,1878.333333,1906.666667,2003.076923
